,Name,Team,Position,Height,Weight,Age
0,Adam_Donachie,BAL,Catcher,74,180.0,22.99
1,Paul_Bako,BAL,Catcher,74,215.0,34.69
2,Ramon_Hernandez,BAL,Catcher,72,210.0,30.78
3,Kevin_Millar,BAL,First_Baseman,72,210.0,35.43
4,Chris_Gomez,BAL,First_Baseman,73,188.0,35.71
5,Brian_Roberts,BAL,Second_Baseman,69,176.0,29.39
6,Miguel_Tejada,BAL,Shortstop,69,209.0,30.77
7,Melvin_Mora,BAL,Third_Baseman,71,200.0,35.07
8,Aubrey_Huff,BAL,Third_Baseman,76,231.0,30.19
9,Adam_Stern,BAL,Outfielder,71,180.0,27.05
10,Jeff_Fiorentino,BAL,Outfielder,73,188.0,23.88
11,Freddie_Bynum,BAL,Outfielder,73,180.0,26.96
12,Nick_Markakis,BAL,Outfielder,74,185.0,23.29
13,Brandon_Fahey,BAL,Outfielder,74,160.0,26.11
14,Corey_Patterson,BAL,Outfielder,69,180.0,27.55
15,Jay_Payton,BAL,Outfielder,70,185.0,34.27
16,Jay_Gibbons,BAL,Designated_Hitter,72,197.0,30.0
17,Erik_Bedard,BAL,Starting_Pitcher,73,189.0,27.99
18,Hayden_Penn,BAL,Starting_Pitcher,75,185.0,22.38
19,Adam_Loewen,BAL,Starting_Pitcher,78,219.0,22.89
20,Daniel_Cabrera,BAL,Starting_Pitcher,79,230.0,25.76
21,Steve_Trachsel,BAL,Starting_Pitcher,76,205.0,36.33
22,Jaret_Wright,BAL,Starting_Pitcher,74,230.0,31.17
23,Kris_Benson,BAL,Starting_Pitcher,76,195.0,32.31
24,Scott_Williamson,BAL,Relief_Pitcher,72,180.0,31.03
25,John_Parrish,BAL,Relief_Pitcher,71,192.0,29.26
26,Danys_Baez,BAL,Relief_Pitcher,75,225.0,29.47
27,Chad_Bradford,BAL,Relief_Pitcher,77,203.0,32.46
28,Jamie_Walker,BAL,Relief_Pitcher,74,195.0,35.67
29,Brian_Burres,BAL,Relief_Pitcher,73,182.0,25.89
30,Kurt_Birkins,BAL,Relief_Pitcher,74,188.0,26.55
31,James_Hoey,BAL,Relief_Pitcher,78,200.0,24.17
32,Sendy_Rleal,BAL,Relief_Pitcher,73,180.0,26.69
33,Chris_Ray,BAL,Relief_Pitcher,75,200.0,25.13
34,Jeremy_Guthrie,BAL,Relief_Pitcher,73,200.0,27.9
35,A.J._Pierzynski,CWS,Catcher,75,245.0,30.17
36,Toby_Hall,CWS,Catcher,75,240.0,31.36
37,Paul_Konerko,CWS,First_Baseman,74,215.0,30.99
38,Tadahito_Iguchi,CWS,Second_Baseman,69,185.0,32.24
39,Juan_Uribe,CWS,Shortstop,71,175.0,27.61
40,Alex_Cintron,CWS,Shortstop,74,199.0,28.2
41,Joe_Crede,CWS,Third_Baseman,73,200.0,28.85
42,Josh_Fields,CWS,Third_Baseman,73,215.0,24.21
43,Ryan_Sweeney,CWS,Outfielder,76,200.0,22.02
44,Brian_N._Anderson,CWS,Outfielder,74,205.0,24.97
45,Luis_Terrero,CWS,Outfielder,74,206.0,26.78
46,Pablo_Ozuna,CWS,Outfielder,70,186.0,32.51
47,Scott_Podsednik,CWS,Outfielder,72,188.0,30.95
48,Jermaine_Dye,CWS,Outfielder,77,220.0,33.09
49,Darin_Erstad,CWS,Outfielder,74,210.0,32.74
50,Rob_Mackowiak,CWS,Outfielder,70,195.0,30.69
51,Jim_Thome,CWS,Designated_Hitter,76,244.0,36.51
52,Jerry_Owens,CWS,Designated_Hitter,75,195.0,26.03
53,Charlie_Haeger,CWS,Starting_Pitcher,73,200.0,23.45
54,Heath_Phillips,CWS,Starting_Pitcher,75,200.0,24.94
55,Gavin_Floyd,CWS,Starting_Pitcher,76,212.0,24.09
56,Jose_Contreras,CWS,Starting_Pitcher,76,224.0,35.23
57,Jon_Garland,CWS,Starting_Pitcher,78,210.0,27.43
58,Javier_Vazquez,CWS,Starting_Pitcher,74,205.0,30.6
59,Mark_Buehrle,CWS,Starting_Pitcher,74,220.0,27.94
60,Mike_MacDougal,CWS,Relief_Pitcher,76,195.0,29.99
61,David_Aardsma,CWS,Relief_Pitcher,77,200.0,25.17
62,Andrew_Sisco,CWS,Relief_Pitcher,81,260.0,24.13
63,Matt_Thornton,CWS,Relief_Pitcher,78,228.0,30.46
64,Bobby_Jenks,CWS,Relief_Pitcher,75,270.0,25.96
65,Boone_Logan,CWS,Relief_Pitcher,77,200.0,22.55
66,Sean_Tracey,CWS,Relief_Pitcher,75,210.0,26.29
67,Nick_Masset,CWS,Relief_Pitcher,76,190.0,24.79
68,Jose_Molina,ANA,Catcher,74,220.0,31.74
69,Jeff_Mathis,ANA,Catcher,72,180.0,23.92
70,Mike_Napoli,ANA,Catcher,72,205.0,25.33
71,Casey_Kotchman,ANA,First_Baseman,75,210.0,24.02
72,Kendry_Morales,ANA,First_Baseman,73,220.0,23.7
73,Shea_Hillenbrand,ANA,First_Baseman,73,211.0,31.59
74,Robb_Quinlan,ANA,First_Baseman,73,200.0,29.95
75,Howie_Kendrick,ANA,First_Baseman,70,180.0,23.64
76,Orlando_Cabrera,ANA,Shortstop,70,190.0,32.33
77,Erick_Aybar,ANA,Shortstop,70,170.0,23.13
78,Dallas_McPherson,ANA,Third_Baseman,76,230.0,26.6
79,Maicer_Izturis,ANA,Third_Baseman,68,155.0,26.46
80,Reggie_Willits,ANA,Outfielder,71,185.0,25.75
81,Tommy_Murphy,ANA,Outfielder,72,185.0,27.51
82,Terry_Evans,ANA,Outfielder,75,200.0,25.11
83,Gary_Matthews_Jr.,ANA,Outfielder,75,225.0,32.51
84,Garret_Anderson,ANA,Outfielder,75,225.0,34.67
85,Vladimir_Guerrero,ANA,Outfielder,75,220.0,31.06
86,Chone_Figgins,ANA,Outfielder,68,160.0,29.1
87,Juan_Rivera,ANA,Outfielder,74,205.0,28.66
88,John_Lackey,ANA,Starting_Pitcher,78,235.0,28.35
89,Bartolo_Colon,ANA,Starting_Pitcher,71,250.0,33.77
90,Kelvim_Escobar,ANA,Starting_Pitcher,73,210.0,30.89
91,Dustin_Moseley,ANA,Starting_Pitcher,76,190.0,37.74
92,Ervin_Santana,ANA,Starting_Pitcher,74,160.0,24.14
93,Joe_Saunders,ANA,Starting_Pitcher,74,200.0,25.71
94,Jered_Weaver,ANA,Starting_Pitcher,79,205.0,24.41
95,Chris_Resop,ANA,Relief_Pitcher,75,222.0,24.32
96,Phil_Seibel,ANA,Relief_Pitcher,73,195.0,28.09
97,Justin_Speier,ANA,Relief_Pitcher,76,205.0,33.31
98,Darren_Oliver,ANA,Relief_Pitcher,74,220.0,36.4
99,Hector_Carrasco,ANA,Relief_Pitcher,74,220.0,37.36
100,Scot_Shields,ANA,Relief_Pitcher,73,170.0,31.61
101,Francisco_Rodriguez,ANA,Relief_Pitcher,72,185.0,25.14
102,Greg_Jones,ANA,Relief_Pitcher,74,195.0,30.29
103,Doug_Mirabelli,BOS,Catcher,73,220.0,36.37
104,Jason_Varitek,BOS,Catcher,74,230.0,34.89
105,George_Kottaras,BOS,Catcher,72,180.0,23.79
106,Kevin_Youkilis,BOS,First_Baseman,73,220.0,27.96
107,Dustin_Pedroia,BOS,Second_Baseman,69,180.0,23.54
108,Alex_Cora,BOS,Shortstop,72,180.0,31.37
109,Julio_Lugo,BOS,Shortstop,73,170.0,31.29
110,Mike_Lowell,BOS,Third_Baseman,75,210.0,33.01
111,Wily_Mo_Pe?a,BOS,Outfielder,75,215.0,25.1
112,J.D._Drew,BOS,Outfielder,73,200.0,31.28
113,Manny_Ramirez,BOS,Outfielder,72,213.0,34.75
114,Brandon_Moss,BOS,Outfielder,72,180.0,23.46
115,David_Murphy,BOS,Outfielder,76,192.0,25.37
116,Eric_Hinske,BOS,Outfielder,74,235.0,29.57
117,Coco_Crisp,BOS,Outfielder,72,185.0,27.33
118,David_Ortiz,BOS,Designated_Hitter,76,230.0,31.28
119,Curt_Schilling,BOS,Starting_Pitcher,77,235.0,40.29
120,Tim_Wakefield,BOS,Starting_Pitcher,74,210.0,40.58
121,Josh_Beckett,BOS,Starting_Pitcher,77,222.0,26.79
122,Matt_Clement,BOS,Starting_Pitcher,75,210.0,32.55
123,Jonathan_Papelbon,BOS,Starting_Pitcher,76,230.0,26.27
124,Kyle_Snyder,BOS,Starting_Pitcher,80,220.0,29.47
125,Devern_Hansack,BOS,Starting_Pitcher,74,180.0,29.07
126,Jon_Lester,BOS,Starting_Pitcher,74,190.0,23.15
127,Kason_Gabbard,BOS,Starting_Pitcher,75,200.0,24.9
128,Craig_Hansen,BOS,Relief_Pitcher,78,210.0,23.29
129,Hideki_Okajima,BOS,Relief_Pitcher,73,194.0,31.18
130,Craig_Breslow,BOS,Relief_Pitcher,73,180.0,26.56
131,Manny_Delcarmen,BOS,Relief_Pitcher,74,190.0,25.03
132,Brendan_Donnelly,BOS,Relief_Pitcher,75,240.0,35.66
133,Javier_Lopez,BOS,Relief_Pitcher,76,200.0,29.64
134,J.C._Romero,BOS,Relief_Pitcher,71,198.0,30.74
135,Joel_Pineiro,BOS,Relief_Pitcher,73,200.0,28.43
136,Julian_Tavarez,BOS,Relief_Pitcher,74,195.0,33.77
137,Mike_Timlin,BOS,Relief_Pitcher,76,210.0,40.97
138,Nick_DeBarr,BOS,Relief_Pitcher,76,220.0,23.52
139,Victor_Martinez,CLE,Catcher,74,190.0,28.19
140,Kelly_Shoppach,CLE,Catcher,73,210.0,26.84
141,Ryan_Garko,CLE,First_Baseman,74,225.0,26.16
142,Joe_Inglett,CLE,Second_Baseman,70,180.0,28.67
143,Josh_Barfield,CLE,Second_Baseman,72,185.0,24.2
144,Hector_Luna,CLE,Second_Baseman,73,170.0,27.08
145,Jhonny_Peralta,CLE,Shortstop,73,185.0,24.76
146,Andy_Marte,CLE,Third_Baseman,73,185.0,23.36
147,Ben_Francisco,CLE,Outfielder,73,180.0,25.35
148,Shin-Soo_Choo,CLE,Outfielder,71,178.0,24.63
149,Franklin_Gutierrez,CLE,Outfielder,74,175.0,24.02
150,Grady_Sizemore,CLE,Outfielder,74,200.0,24.58
151,Jason_Michaels,CLE,Outfielder,72,204.0,30.82
152,Trot_Nixon,CLE,Outfielder,74,211.0,32.89
153,David_Dellucci,CLE,Outfielder,71,190.0,33.33
154,Casey_Blake,CLE,Outfielder,74,210.0,33.52
155,Travis_Hafner,CLE,Designated_Hitter,75,240.0,29.74
156,Paul_Byrd,CLE,Starting_Pitcher,73,190.0,36.24
157,Cliff_Lee,CLE,Starting_Pitcher,75,190.0,28.5
158,Jake_Westbrook,CLE,Starting_Pitcher,75,185.0,29.42
159,C.C._Sabathia,CLE,Starting_Pitcher,79,290.0,26.61
160,Jeremy_Sowers,CLE,Starting_Pitcher,73,175.0,23.79
161,Rafael_Perez,CLE,Relief_Pitcher,75,185.0,24.96
162,Brian_Slocum,CLE,Relief_Pitcher,76,200.0,25.93
163,Edward_Mujica,CLE,Relief_Pitcher,74,220.0,22.81
164,Fernando_Cabrera,CLE,Relief_Pitcher,76,170.0,25.29
165,Tom_Mastny,CLE,Relief_Pitcher,78,220.0,26.07
166,Juan_Lara,CLE,Relief_Pitcher,74,190.0,26.09
167,Fausto_Carmona,CLE,Relief_Pitcher,76,220.0,23.23
168,Aaron_Fultz,CLE,Relief_Pitcher,72,205.0,33.49
169,Rafael_Betancourt,CLE,Relief_Pitcher,74,200.0,31.84
170,Roberto_Hernandez,CLE,Relief_Pitcher,76,250.0,42.3
171,Joe_Borowski,CLE,Relief_Pitcher,74,225.0,35.82
172,Matt_Miller,CLE,Relief_Pitcher,75,215.0,35.27
173,Jason_Davis,CLE,Relief_Pitcher,78,210.0,26.81
174,Mike_Piazza,OAK,Catcher,75,215.0,38.49
175,Jason_Kendall,OAK,Catcher,72,195.0,32.68
176,Adam_Melhuse,OAK,Catcher,74,200.0,34.93
177,Nick_Swisher,OAK,First_Baseman,72,194.0,26.26
178,Dan_Johnson,OAK,First_Baseman,74,220.0,27.56
179,Donald_Murphy,OAK,Second_Baseman,70,180.0,23.98
180,Mark_Ellis,OAK,Second_Baseman,71,180.0,29.73
181,Marco_Scutaro,OAK,Shortstop,70,170.0,31.33
182,Bobby_Crosby,OAK,Shortstop,75,195.0,27.13
183,Mark_Kiger,OAK,Shortstop,71,180.0,26.75
184,Antonio_Perez,OAK,Third_Baseman,71,170.0,27.09
185,Eric_Chavez,OAK,Third_Baseman,73,206.0,29.23
186,Milton_Bradley,OAK,Outfielder,72,205.0,28.88
187,Shannon_Stewart,OAK,Outfielder,71,200.0,33.01
188,Bobby_Kielty,OAK,Outfielder,73,225.0,30.57
189,Mark_Kotsay,OAK,Outfielder,72,201.0,31.24
190,Ryan_Goleski,OAK,Outfielder,75,225.0,24.95
191,Jeremy_Brown,OAK,Designated_Hitter,70,226.0,27.35
192,Jason_Windsor,OAK,Starting_Pitcher,74,233.0,24.62
193,David_Shafer,OAK,Starting_Pitcher,74,180.0,24.98
194,Joe_Blanton,OAK,Starting_Pitcher,75,225.0,26.22
195,Brad_Halsey,OAK,Starting_Pitcher,73,180.0,26.04
196,Dan_Haren,OAK,Starting_Pitcher,77,220.0,26.45
197,Rich_Harden,OAK,Starting_Pitcher,73,180.0,25.25
198,Joe_Kennedy,OAK,Starting_Pitcher,76,237.0,27.77
199,Esteban_Loaiza,OAK,Starting_Pitcher,75,215.0,35.16
200,Alan_Embree,OAK,Relief_Pitcher,74,190.0,37.1
201,Jay_Witasick,OAK,Relief_Pitcher,76,235.0,34.51
202,Justin_Duchscherer,OAK,Relief_Pitcher,75,190.0,29.28
203,Kiko_Calero,OAK,Relief_Pitcher,73,180.0,32.14
204,Chad_Gaudin,OAK,Relief_Pitcher,71,165.0,23.94
205,Lenny_DiNardo,OAK,Relief_Pitcher,76,195.0,27.45
206,Scott_Dunn,OAK,Relief_Pitcher,75,200.0,28.77
207,Huston_Street,OAK,Relief_Pitcher,72,190.0,23.58
208,Ron_Flores,OAK,Relief_Pitcher,71,190.0,27.56
209,Jay_Marshall,OAK,Relief_Pitcher,77,185.0,24.01
210,Marcus_McBeth,OAK,Relief_Pitcher,73,185.0,26.52
211,Jorge_Posada,NYY,Catcher,74,205.0,35.54
212,Wil_Nieves,NYY,Catcher,71,190.0,29.43
213,Andy_Phillips,NYY,First_Baseman,72,205.0,29.9
214,Doug_Mientkiewicz,NYY,First_Baseman,74,206.0,32.7
215,Josh_Phelps,NYY,First_Baseman,75,220.0,28.8
216,Miguel_Cairo,NYY,Second_Baseman,73,208.0,32.82
217,Robinson_Cano,NYY,Second_Baseman,72,170.0,24.36
218,Derek_Jeter,NYY,Shortstop,75,195.0,32.68
219,Alex_Rodriguez,NYY,Third_Baseman,75,210.0,31.59
220,Johnny_Damon,NYY,Outfielder,74,190.0,33.32
221,Bobby_Abreu,NYY,Outfielder,72,211.0,32.97
222,Hideki_Matsui,NYY,Outfielder,74,230.0,32.72
223,Melky_Cabrera,NYY,Outfielder,71,170.0,22.55
224,Kevin_Thompson,NYY,Outfielder,70,185.0,27.45
225,Jason_Giambi,NYY,Designated_Hitter,75,230.0,36.14
226,Mike_Mussina,NYY,Starting_Pitcher,74,185.0,38.23
227,Carl_Pavano,NYY,Starting_Pitcher,77,241.0,31.14
228,Andy_Pettitte,NYY,Starting_Pitcher,77,225.0,34.71
229,Darrell_Rasner,NYY,Starting_Pitcher,75,210.0,26.13
230,Jeff_Karstens,NYY,Starting_Pitcher,75,175.0,24.43
231,Humberto_Sanchez,NYY,Starting_Pitcher,78,230.0,23.76
232,Chien-Ming_Wang,NYY,Starting_Pitcher,75,200.0,26.92
233,Sean_Henn,NYY,Relief_Pitcher,76,215.0,25.85
234,Scott_Proctor,NYY,Relief_Pitcher,73,198.0,30.16
235,Brian_Bruney,NYY,Relief_Pitcher,75,226.0,25.03
236,Chris_Britton,NYY,Relief_Pitcher,75,278.0,24.21
237,T.J._Beam,NYY,Relief_Pitcher,79,215.0,26.51
238,Jose_Veras,NYY,Relief_Pitcher,77,230.0,26.36
239,Kyle_Farnsworth,NYY,Relief_Pitcher,76,240.0,30.88
240,Luis_Vizcaino,NYY,Relief_Pitcher,71,184.0,32.57
241,Mike_Myers,NYY,Relief_Pitcher,75,219.0,37.68
242,Mariano_Rivera,NYY,Relief_Pitcher,74,170.0,37.25
243,Ivan_Rodriguez,DET,Catcher,69,218.0,35.25
244,Vance_Wilson,DET,Catcher,71,190.0,33.95
245,Sean_Casey,DET,First_Baseman,76,225.0,32.66
246,Chris_Shelton,DET,First_Baseman,72,220.0,26.68
247,Omar_Infante,DET,Second_Baseman,72,176.0,25.18
248,Placido_Polanco,DET,Second_Baseman,70,190.0,31.39
249,Neifi_Perez,DET,Second_Baseman,72,197.0,33.74
250,Carlos_Guillen,DET,Shortstop,73,204.0,31.42
251,Ramon_Santiago,DET,Shortstop,71,167.0,27.5
252,Tony_Giarratano,DET,Shortstop,72,180.0,24.25
253,Brandon_Inge,DET,Third_Baseman,71,195.0,29.78
254,Craig_Monroe,DET,Outfielder,73,220.0,30.0
255,Magglio_Ordo?ez,DET,Outfielder,72,215.0,33.09
256,Curtis_Granderson,DET,Outfielder,73,185.0,25.96
257,Brent_Clevlen,DET,Outfielder,74,190.0,23.34
258,Marcus_Thames,DET,Outfielder,74,205.0,29.98
259,Gary_Sheffield,DET,Outfielder,72,205.0,38.28
260,Mike_Rabelo,DET,Designated_Hitter,73,200.0,27.12
261,Zach_Miner,DET,Starting_Pitcher,75,200.0,24.97
262,Jeremy_Bonderman,DET,Starting_Pitcher,74,210.0,24.34
263,Nate_Robertson,DET,Starting_Pitcher,74,215.0,29.49
264,Justin_Verlander,DET,Starting_Pitcher,77,200.0,24.02
265,Virgil_Vasquez,DET,Starting_Pitcher,75,205.0,24.73
266,Kenny_Rogers,DET,Starting_Pitcher,73,211.0,42.3
267,Mike_Maroth,DET,Starting_Pitcher,72,190.0,29.54
268,Fernando_Rodney,DET,Relief_Pitcher,71,208.0,29.95
269,Chad_Durbin,DET,Relief_Pitcher,74,200.0,29.24
270,Jason_Grilli,DET,Relief_Pitcher,77,210.0,30.3
271,Jose_Mesa,DET,Relief_Pitcher,75,232.0,40.77
272,Todd_Jones,DET,Relief_Pitcher,75,230.0,38.85
273,Joel_Zumaya,DET,Relief_Pitcher,75,210.0,22.31
274,Jordan_Tata,DET,Relief_Pitcher,78,220.0,25.44
275,Andrew_Miller,DET,Relief_Pitcher,78,210.0,21.78
276,Yorman_Bazardo,DET,Relief_Pitcher,74,202.0,22.64
277,Wilfredo_Ledezma,DET,Relief_Pitcher,76,212.0,26.11
278,Roman_Colon,DET,Relief_Pitcher,78,225.0,27.55
279,Edward_Campusano,DET,Relief_Pitcher,76,170.0,24.63
280,Rene_Rivera,SEA,Catcher,70,190.0,23.58
281,Kenji_Johjima,SEA,Catcher,72,200.0,30.73
282,Richie_Sexson,SEA,First_Baseman,80,237.0,32.17
283,Ben_Broussard,SEA,First_Baseman,74,220.0,30.43
284,Jose_Lopez,SEA,Second_Baseman,74,170.0,23.27
285,Jose_Vidro,SEA,Second_Baseman,71,193.0,32.51
286,Yuniesky_Betancourt,SEA,Shortstop,70,190.0,25.08
287,Oswaldo_Navarro,SEA,Shortstop,72,150.0,22.41
288,Adrian_Beltre,SEA,Third_Baseman,71,220.0,27.9
289,Raul_Ibanez,SEA,Outfielder,74,200.0,34.74
290,Jose_Guillen,SEA,Outfielder,71,190.0,30.79
291,Jeremy_Reed,SEA,Outfielder,72,185.0,25.71
292,Willie_Bloomquist,SEA,Outfielder,71,185.0,29.26
293,Adam_Jones,SEA,Outfielder,74,200.0,21.58
294,Ichiro_Suzuki,SEA,Outfielder,69,172.0,33.36
295,Mike_Morse,SEA,Outfielder,76,220.0,24.94
296,Felix_Hernandez,SEA,Starting_Pitcher,75,225.0,20.9
297,Ryan_Feierabend,SEA,Starting_Pitcher,75,190.0,21.52
298,Sean_White,SEA,Starting_Pitcher,76,195.0,25.85
299,Horacio_Ramirez,SEA,Starting_Pitcher,73,219.0,27.27
300,Cha_Baek,SEA,Starting_Pitcher,76,190.0,26.75
301,Miguel_Batista,SEA,Starting_Pitcher,73,197.0,36.03
302,Jeff_Weaver,SEA,Starting_Pitcher,77,200.0,30.52
303,Jarrod_Washburn,SEA,Starting_Pitcher,73,195.0,32.55
304,George_Sherrill,SEA,Relief_Pitcher,72,210.0,29.86
305,Julio_Mateo,SEA,Relief_Pitcher,72,177.0,29.58
306,J.J._Putz,SEA,Relief_Pitcher,77,220.0,30.02
307,Chris_Reitsma,SEA,Relief_Pitcher,77,235.0,29.16
308,Cesar_Jimenez,SEA,Relief_Pitcher,71,180.0,22.3
309,Eric_O'Flaherty,SEA,Relief_Pitcher,74,195.0,22.06
310,Jon_Huber,SEA,Relief_Pitcher,74,195.0,25.65
311,Jake_Woods,SEA,Relief_Pitcher,73,190.0,25.49
312,Sean_Green,SEA,Relief_Pitcher,78,230.0,27.86
313,Mark_Lowe,SEA,Relief_Pitcher,75,190.0,23.73
314,Josh_Paul,TB,Catcher,73,200.0,31.78
315,Dioner_Navarro,TB,Catcher,70,190.0,23.06
316,Shawn_Riggans,TB,Catcher,74,190.0,26.6
317,Ty_Wigginton,TB,First_Baseman,72,200.0,29.39
318,Brendan_Harris,TB,Second_Baseman,73,200.0,26.51
319,Jorge_Cantu,TB,Second_Baseman,73,184.0,25.08
320,Ben_Zobrist,TB,Shortstop,75,200.0,25.76
321,B.J._Upton,TB,Third_Baseman,75,180.0,22.52
322,Carl_Crawford,TB,Outfielder,74,219.0,25.57
323,Rocco_Baldelli,TB,Outfielder,76,187.0,25.43
324,Greg_Norton,TB,Outfielder,73,200.0,34.65
325,Elijah_Dukes,TB,Outfielder,74,220.0,22.68
326,Delmon_Young,TB,Outfielder,75,205.0,21.46
327,Jonny_Gomes,TB,Designated_Hitter,73,205.0,26.27
328,Edwin_Jackson,TB,Starting_Pitcher,75,190.0,23.47
329,Scott_Kazmir,TB,Starting_Pitcher,72,170.0,23.1
330,Casey_Fossum,TB,Starting_Pitcher,73,160.0,29.14
331,Jae_Seo,TB,Starting_Pitcher,73,215.0,29.77
332,J.P._Howell,TB,Starting_Pitcher,72,175.0,23.85
333,Tim_Corcoran,TB,Starting_Pitcher,74,205.0,28.88
334,Jason_Hammel,TB,Starting_Pitcher,78,200.0,24.49
335,James_Shields,TB,Starting_Pitcher,76,214.0,25.19
336,Brian_Stokes,TB,Starting_Pitcher,73,200.0,27.48
337,Juan_Salas,TB,Relief_Pitcher,74,190.0,28.31
338,Jeff_Ridgway,TB,Relief_Pitcher,75,180.0,26.54
339,Ruddy_Lugo,TB,Relief_Pitcher,70,205.0,26.77
340,Jae-Kuk_Ryu,TB,Relief_Pitcher,75,220.0,23.75
341,Chad_Orvella,TB,Relief_Pitcher,71,190.0,26.41
342,Dan_Miceli,TB,Relief_Pitcher,72,215.0,36.47
343,Seth_McClung,TB,Relief_Pitcher,78,235.0,26.06
